StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q4,Q5,Q6_1,Q7,Q7_8_TEXT,random
2021-12-29 15:54:36,2021-12-29 15:58:39,IP Address,76.185.187.47,100,243,True,2021-12-29 15:58:39,R_23Ub5vOVV9FZHJ6,,,,,29.4246978759765625,-98.46209716796875,anonymous,EN,I consent,Male,40,Multiple ethnicities,Some college,19014,English,,3891
2021-12-29 16:20:01,2021-12-29 16:23:13,IP Address,73.164.31.186,100,191,True,2021-12-29 16:23:13,R_W8tjA7xgXoE4dWh,,,,,45.16650390625,-93.321502685546875,anonymous,EN,I consent,Male,25,White or Caucasian,4 year degree,51408,English,,9720
2021-12-29 17:00:59,2021-12-29 17:01:33,IP Address,98.229.252.114,100,34,True,2021-12-29 17:01:34,R_W0NHQ62ZUNugVEt,,,,,42.0214996337890625,-71.21880340576171875,anonymous,EN,I consent,Male,28,Asian,Master's degree,79648,"English,Chinese",,3618
2021-12-29 17:05:57,2021-12-29 17:06:35,IP Address,73.13.117.139,100,38,True,2021-12-29 17:06:36,R_1CKq9Ereb19KiNA,,,,,40.0458984375,-75.53070068359375,anonymous,EN,I consent,Male,35,White or Caucasian,Master's degree,70310,English,,9415
2021-12-29 20:54:35,2021-12-29 21:04:12,IP Address,147.124.212.192,100,576,True,2021-12-29 21:04:12,R_2qe0Y2QYrN9ezjI,,,,,32.776702880859375,-96.80500030517578125,anonymous,EN,I consent,Female,44,White or Caucasian,4 year degree,26408,"English,Spanish",,9942
2021-12-29 21:21:50,2021-12-29 21:42:48,IP Address,202.182.64.67,100,1257,True,2021-12-29 21:42:48,R_21GRkZuR8VqPOmy,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,I consent,Female,35,White or Caucasian,4 year degree,48380,English,,4552
2021-12-29 22:03:39,2021-12-29 22:04:06,IP Address,107.208.176.119,100,27,True,2021-12-29 22:04:06,R_2Ufl32dZdgUo4G3,,,,,43.1204986572265625,-89.35230255126953125,anonymous,EN,I consent,Non-binary / third gender,33,Hispanic or Latino,Master's degree,29577,"English,Spanish",,4539
2021-12-29 22:07:01,2021-12-29 22:11:42,IP Address,208.203.209.32,100,280,True,2021-12-29 22:11:42,R_2vejTzhWe4HcFlN,,,,,39.9844970703125,-75.58599853515625,anonymous,EN,I consent,Male,32,White or Caucasian,Master's degree,75634,English,,7839
2021-12-29 22:10:35,2021-12-29 22:17:35,IP Address,67.7.27.221,100,419,True,2021-12-29 22:17:35,R_3qaje9JdEx16Vyt,,,,,32.189605712890625,-95.84429931640625,anonymous,EN,I consent,Male,62,White or Caucasian,Some college,69296,English,,2429
2021-12-29 22:05:44,2021-12-29 22:19:08,IP Address,163.123.222.221,100,804,True,2021-12-29 22:19:09,R_2zSZfYpYzaavLvU,,,,,39.3361053466796875,-76.53890228271484375,anonymous,EN,I consent,Female,46,White or Caucasian,4 year degree,99930,English,,3792
2021-12-29 22:34:42,2021-12-29 22:55:47,IP Address,208.203.220.94,100,1265,True,2021-12-29 22:55:48,R_3qP5bCCGkLaxaO5,,,,,39.79510498046875,-76.979400634765625,anonymous,EN,I consent,Male,31,White or Caucasian,High school graduate,32113,"English,Chinese",,3283
2021-12-29 23:16:50,2021-12-29 23:23:29,IP Address,208.203.218.183,100,398,True,2021-12-29 23:23:29,R_3kjsj6aLlrs2qmc,,,,,39.79510498046875,-76.979400634765625,anonymous,EN,I consent,Male,25,White or Caucasian,4 year degree,50493,English,,1374
2021-12-30 00:06:06,2021-12-30 00:14:17,IP Address,208.203.208.145,100,491,True,2021-12-30 00:14:17,R_wMJEJRQpNAfjQt3,,,,,39.9844970703125,-75.58599853515625,anonymous,EN,I consent,Male,32,White or Caucasian,Master's degree,94859,English,,6868
2021-12-30 00:08:44,2021-12-30 00:16:54,IP Address,45.147.60.43,100,489,True,2021-12-30 00:16:54,R_27J498jR4evAngt,,,,,41.8874053955078125,-87.63179779052734375,anonymous,EN,I consent,Female,33,White or Caucasian,4 year degree,46901,English,,8610
2021-12-30 00:58:49,2021-12-30 01:27:20,IP Address,208.203.208.112,100,1711,True,2021-12-30 01:27:20,R_2YPQovbsQ2fEPPg,,,,,39.9844970703125,-75.58599853515625,anonymous,EN,I consent,Male,32,White or Caucasian,Master's degree,149366,English,,5532
2021-12-30 02:28:49,2021-12-30 02:32:40,IP Address,67.185.7.242,100,230,True,2021-12-30 02:32:41,R_yK4oX8MQMkU67iF,,,,,47.7344970703125,-117.44699859619140625,anonymous,EN,I consent,Male,32,White or Caucasian,2 year degree,32324,English,,3419
2021-12-30 02:39:29,2021-12-30 02:56:27,IP Address,208.195.16.182,100,1017,True,2021-12-30 02:56:27,R_2fm2Jj8OcoeMDKz,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,I consent,Male,33,White or Caucasian,Some college,50704,English,,1402
2021-12-30 07:00:52,2021-12-30 07:01:13,IP Address,107.208.176.119,100,21,True,2021-12-30 07:01:14,R_dhWzcT50oTEfubD,,,,,43.1204986572265625,-89.35230255126953125,anonymous,EN,I consent,Non-binary / third gender,33,Hispanic or Latino,Master's degree,30634,"English,Spanish",,5605
2021-12-30 07:04:08,2021-12-30 07:07:44,IP Address,97.81.175.24,100,216,True,2021-12-30 07:07:44,R_DUXoNM2bufi3lsJ,,,,,36.217803955078125,-85.54229736328125,anonymous,EN,I consent,Male,54,White or Caucasian,4 year degree,46901,English,,7382
2021-12-30 07:03:46,2021-12-30 07:12:10,IP Address,208.203.217.220,100,503,True,2021-12-30 07:12:10,R_SUhAuz0vmyuNVuN,,,,,39.79510498046875,-76.979400634765625,anonymous,EN,I consent,Male,41,White or Caucasian,4 year degree,55986,English,,3923
2021-12-30 07:06:10,2021-12-30 07:15:00,IP Address,97.71.158.165,100,530,True,2021-12-30 07:15:00,R_OweAyrkjvGFS569,,,,,28.2534027099609375,-81.64209747314453125,anonymous,EN,I consent,Male,43,Black or African American,Some college,30634,English,,4257
2021-12-30 07:21:13,2021-12-30 07:29:12,IP Address,66.29.197.188,100,478,True,2021-12-30 07:29:12,R_3ee2QxdfTQ2Zg6s,,,,,27.772796630859375,-82.63790130615234375,anonymous,EN,I consent,Female,66,White or Caucasian,4 year degree,49437,English,,7402
2021-12-30 07:03:56,2021-12-30 07:47:57,IP Address,207.230.102.178,100,2641,True,2021-12-30 07:47:58,R_2ghsvntmPJAYqzf,,,,,33.748504638671875,-84.3871002197265625,anonymous,EN,I consent,Female,52,White or Caucasian,4 year degree,36972,English,,3022
2021-12-30 08:24:09,2021-12-30 08:29:50,IP Address,71.76.54.156,100,340,True,2021-12-30 08:29:50,R_3iCgDFWg7xlYxZr,,,,,33.7196044921875,-78.97540283203125,anonymous,EN,I consent,Female,61,White or Caucasian,2 year degree,18380,English,,3147
2021-12-30 09:33:06,2021-12-30 09:44:42,IP Address,8.44.142.84,100,695,True,2021-12-30 09:44:42,R_1MNLuMj8u10Jopb,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,I consent,Female,35,White or Caucasian,4 year degree,52602,English,,7293
2021-12-30 10:42:06,2021-12-30 10:45:55,IP Address,98.148.82.44,100,229,True,2021-12-30 10:45:55,R_s6uN2xC22TkDmqB,,,,,34.113006591796875,-118.1887969970703125,anonymous,EN,I consent,Female,25,White or Caucasian,4 year degree,20282,English,,7238
2021-12-30 15:05:53,2021-12-30 15:07:50,IP Address,66.118.5.1,100,117,True,2021-12-30 15:07:50,R_27vq4Y4ZurxezQO,,,,,42.75140380859375,-71.5785980224609375,anonymous,EN,I consent,Male,39,White or Caucasian,Some college,75423,English,,8713
2021-12-30 17:15:05,2021-12-30 17:19:56,IP Address,209.209.43.122,100,291,True,2021-12-30 17:19:56,R_20uHDaIBAQyeH4t,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,I consent,Male,32,White or Caucasian,4 year degree,36972,English,,2982
2021-12-30 18:28:18,2021-12-30 18:28:41,IP Address,107.208.176.119,100,23,True,2021-12-30 18:28:42,R_z8XZpNU29aReDoB,,,,,43.1204986572265625,-89.35230255126953125,anonymous,EN,I consent,Non-binary / third gender,33,Hispanic or Latino,Master's degree,30634,"English,Spanish",,5076
2021-12-30 18:29:32,2021-12-30 18:34:26,IP Address,75.84.114.212,100,294,True,2021-12-30 18:34:27,R_3qe8ha0bd7F1Rfb,,,,,33.92120361328125,-118.14239501953125,anonymous,EN,I consent,Male,36,Hispanic or Latino,High school graduate,28310,English,,7803
2021-12-30 18:30:16,2021-12-30 18:39:45,IP Address,208.203.209.224,100,569,True,2021-12-30 18:39:45,R_riDdldQlqoW4x1L,,,,,39.9844970703125,-75.58599853515625,anonymous,EN,I consent,Male,32,White or Caucasian,Master's degree,77324,English,,8584
2021-12-30 18:46:51,2021-12-30 18:49:57,IP Address,91.229.104.31,100,185,True,2021-12-30 18:49:57,R_3fwnEmKh89i2Ahd,,,,,33.4474945068359375,-112.08660125732421875,anonymous,EN,I consent,Female,53,White or Caucasian,4 year degree,30000,English,,4068
2021-12-30 19:02:10,2021-12-30 19:06:17,IP Address,173.184.79.53,100,246,True,2021-12-30 19:06:17,R_3hs8kayh2y7Rbqi,,,,,37.153106689453125,-84.098602294921875,anonymous,EN,I consent,Male,34,White or Caucasian,Some college,12254,English,,2916
2021-12-30 19:31:52,2021-12-30 19:43:58,IP Address,208.203.211.152,100,726,True,2021-12-30 19:43:59,R_3nlpMejXAUMmUnH,,,,,39.9844970703125,-75.58599853515625,anonymous,EN,I consent,Male,45,White or Caucasian,4 year degree,39085,English,,1365
2021-12-30 19:42:07,2021-12-30 19:45:11,IP Address,81.161.7.241,100,183,True,2021-12-30 19:45:11,R_zYW3pFdXBzW81DX,,,,,40.766204833984375,-74.01779937744140625,anonymous,EN,I consent,Female,23,White or Caucasian,4 year degree,108803,English,,1241
2021-12-30 20:07:49,2021-12-30 20:25:27,IP Address,198.14.27.119,100,1058,True,2021-12-30 20:25:27,R_ODKasMtVdtjTA5j,,,,,40.7487945556640625,-73.9882965087890625,anonymous,EN,I consent,Male,68,White or Caucasian,4 year degree,40563,English,,2939
2021-12-30 20:30:30,2021-12-30 20:38:03,IP Address,47.40.96.251,100,453,True,2021-12-30 20:38:03,R_2Eg85BIb0K6pz9g,,,,,45.891998291015625,-123.96720123291015625,anonymous,EN,I consent,Male,48,White or Caucasian,4 year degree,77324,English,,8090
2021-12-30 21:38:18,2021-12-30 22:03:13,IP Address,196.17.67.94,100,1495,True,2021-12-30 22:03:13,R_3JgBDIWqedLOsdj,,,,,34.0543975830078125,-118.2440948486328125,anonymous,EN,I consent,Male,29,White or Caucasian,4 year degree,73099,English,,9411
2021-12-30 22:17:45,2021-12-30 22:37:59,IP Address,198.14.25.48,100,1213,True,2021-12-30 22:37:59,R_2TSOdjkabg3cRKT,,,,,40.7487945556640625,-73.9882965087890625,anonymous,EN,I consent,Female,44,Black or African American,Some college,29577,English,,4961
2021-12-31 06:42:15,2021-12-31 06:43:11,IP Address,136.175.195.46,100,56,True,2021-12-31 06:43:11,R_2E1efWB7EmN9QGy,,,,,36.837493896484375,-76.09760284423828125,anonymous,EN,I consent,Male,48,White or Caucasian,Master's degree,37817,English,,5191
2021-12-31 11:29:14,2021-12-31 11:44:49,IP Address,63.155.7.183,100,935,True,2021-12-31 11:44:49,R_2CZZscKpiJHOX1u,,,,,44.0644989013671875,-123.1461029052734375,anonymous,EN,I consent,Female,58,White or Caucasian,4 year degree,17113,English,,6740
2021-12-31 12:23:54,2021-12-31 12:32:49,IP Address,107.11.207.116,100,535,True,2021-12-31 12:32:50,R_RajSq9OlpCk6kxj,,,,,40.55780029296875,-84.62529754638671875,anonymous,EN,I consent,Female,31,Hispanic or Latino,4 year degree,58099,English,,3223
2021-12-31 12:36:46,2021-12-31 12:43:11,IP Address,76.115.45.184,100,384,True,2021-12-31 12:43:11,R_123kvqF6tL0lPbu,,,,,44.6553955078125,-123.1349945068359375,anonymous,EN,I consent,Male,35,White or Caucasian,4 year degree,85352,English,,2605
2021-12-31 12:59:11,2021-12-31 12:59:32,IP Address,107.208.176.119,100,20,True,2021-12-31 12:59:32,R_w62qO6MAmUqIha1,,,,,43.1204986572265625,-89.35230255126953125,anonymous,EN,I consent,Non-binary / third gender,33,Hispanic or Latino,Master's degree,30423,"English,Spanish",,1055
2021-12-31 13:00:36,2021-12-31 13:08:11,IP Address,208.203.222.204,100,454,True,2021-12-31 13:08:11,R_10pCiE77x4gOlwk,,,,,39.364105224609375,-77.46219635009765625,anonymous,EN,I consent,Male,25,White or Caucasian,4 year degree,50704,English,,4619
2021-12-31 13:09:39,2021-12-31 13:11:54,IP Address,66.118.5.32,100,135,True,2021-12-31 13:11:54,R_2pQYzpFNPVSaOww,,,,,42.75140380859375,-71.5785980224609375,anonymous,EN,I consent,Male,63,White or Caucasian,4 year degree,113028,English,,2207
2021-12-31 13:03:37,2021-12-31 13:13:57,IP Address,159.235.254.254,100,619,True,2021-12-31 13:13:57,R_3frB8cvZq5UTbta,,,,,33.3708038330078125,-84.815399169921875,anonymous,EN,I consent,Male,35,White or Caucasian,4 year degree,66972,English,,4042
2021-12-31 13:13:29,2021-12-31 13:23:34,IP Address,98.33.117.205,100,604,True,2021-12-31 13:23:34,R_w6RKFdyrITo0xZ7,,,,,37.30279541015625,-121.998199462890625,anonymous,EN,I consent,Male,35,White or Caucasian,4 year degree,62746,English,,5284
2021-12-31 13:16:26,2021-12-31 13:29:03,IP Address,207.244.71.81,100,756,True,2021-12-31 13:29:03,R_22QFOPtW3c78Eld,,,,,38.917205810546875,-77.07089996337890625,anonymous,EN,I consent,Female,33,Black or African American,4 year degree,78592,English,,1547
2021-12-31 13:57:47,2021-12-31 14:03:37,IP Address,68.59.117.67,100,349,True,2021-12-31 14:03:37,R_2z5PsMvVqMbZGaK,,,,,30.7781982421875,-83.55190277099609375,anonymous,EN,I consent,Male,28,White or Caucasian,High school graduate,36549,English,,7121
2021-12-31 13:57:17,2021-12-31 14:06:00,IP Address,74.89.203.50,100,522,True,2021-12-31 14:06:00,R_31FrzhtLi1gywSO,,,,,41.145904541015625,-72.28759765625,anonymous,EN,I consent,Male,53,White or Caucasian,Some college,72887,English,,4894
2021-12-31 15:23:47,2021-12-31 15:44:55,IP Address,147.124.213.28,100,1268,True,2021-12-31 15:44:56,R_9Z9SByjrZ1BNco9,,,,,32.776702880859375,-96.80500030517578125,anonymous,EN,I consent,Male,33,White or Caucasian,4 year degree,136901,"English,Spanish,Chinese",,7444
2021-12-31 15:41:56,2021-12-31 15:55:13,IP Address,66.187.8.49,100,796,True,2021-12-31 15:55:13,R_1gdab0QaP0Ap3sL,,,,,36.837493896484375,-76.09760284423828125,anonymous,EN,I consent,Male,55,White or Caucasian,Master's degree,109648,English,,5051
2021-12-31 17:49:36,2021-12-31 17:57:14,IP Address,73.205.21.131,100,458,True,2021-12-31 17:57:15,R_2ByQkHj3NVwoKGc,,,,,26.611297607421875,-80.1743011474609375,anonymous,EN,I consent,Female,69,White or Caucasian,High school graduate,38256,English,,4590
